image_name,true_class,predicted_class,confidence,detected,error
happy233_jpg.rf.888a7231e4aab05211751cfaccfb6fc9.jpg,happy,happy,0.8477385640144348,True,
happy8_jpg.rf.2462b71e5356d38cc05bf1b91082d321.jpg,happy,happy,0.9520753026008606,True,
happy36_jpg.rf.b9510e63d99752c17b29b376cddec662.jpg,happy,happy,0.953182578086853,True,
blog_image_20180219221810890.jpg,happy,unknown,0.0,False,Nenhum rosto detectado
181302372.png,happy,happy,0.887442409992218,True,
976553333.png,happy,happy,0.9349543452262878,True,
25602.png,happy,happy,0.9209169149398804,True,
190539825.png,happy,content,0.7866491079330444,True,
4163.png,happy,happy,0.8041383624076843,True,
856794368.png,happy,happy,0.8219243288040161,True,
917928161.png,happy,happy,0.8724551200866699,True,
34732.png,happy,happy,0.5437273979187012,True,
12281.png,happy,surprise,0.7655929327011108,True,
365691973.png,happy,happy,0.9285287857055664,True,
12487.png,happy,content,0.6468923091888428,True,
271018027.png,happy,surprise,0.5932817459106445,True,
34440.png,happy,happy,0.9543358087539673,True,
14586.png,happy,neutral,0.6597892045974731,True,
130238096.png,happy,unknown,0.0,False,Nenhum rosto detectado
30343.png,happy,happy,0.9301326274871826,True,
82146952.png,happy,content,0.4431080222129822,True,
389761350.png,happy,unknown,0.0,False,Nenhum rosto detectado
254924864.png,happy,happy,0.7652449011802673,True,
92372823.png,happy,happy,0.8494539260864258,True,
588193997.png,happy,surprise,0.8514459133148193,True,
354674239.png,happy,happy,0.9170562028884888,True,
747415705.png,happy,unknown,0.0,False,Nenhum rosto detectado
290402334.png,happy,happy,0.9269973635673523,True,
14087.png,happy,surprise,0.8638080358505249,True,
829168523.png,happy,content,0.5483589172363281,True,
33808.png,happy,happy,0.4933294355869293,True,
30668.png,happy,happy,0.9392291903495789,True,
408913649.png,happy,happy,0.9417551755905151,True,
14734.png,happy,content,0.8576654195785522,True,
9222.png,happy,happy,0.7735357880592346,True,
973964960.png,happy,happy,0.7759661674499512,True,
1083.png,happy,surprise,0.8324905633926392,True,
151870420.png,happy,happy,0.6023409366607666,True,
15604.png,happy,happy,0.9125220775604248,True,
355720087.png,happy,happy,0.910411536693573,True,
474760525.png,happy,unknown,0.0,False,Nenhum rosto detectado
20079.png,happy,happy,0.5950145125389099,True,
9635.png,happy,happy,0.5618735551834106,True,
748675446.png,happy,sad,0.6603842377662659,True,
9634.png,happy,content,0.8839918375015259,True,
14040.png,happy,neutral,0.5495647192001343,True,
818509800.png,happy,happy,0.948503851890564,True,
715076312.png,happy,happy,0.9005722999572754,True,
726056802.png,happy,unknown,0.0,False,Nenhum rosto detectado
594512211.png,happy,happy,0.9195137023925781,True,
12011.png,happy,happy,0.7237796783447266,True,
829544142.png,happy,happy,0.8139326572418213,True,
13641.png,happy,unknown,0.0,False,Nenhum rosto detectado
697057299.png,happy,unknown,0.0,False,Nenhum rosto detectado
13287.png,happy,happy,0.9379222989082336,True,
17234.png,happy,happy,0.8397116661071777,True,
7762.png,happy,happy,0.6854492425918579,True,
16937.png,happy,surprise,0.7282471060752869,True,
15033.png,happy,happy,0.9128010272979736,True,
