image_name,true_class,predicted_class,confidence,detected,error
image-223.jpeg,happy,happy,,True,
15853.png,happy,happy,,True,
35771.png,happy,happy,,True,
812101853.png,happy,happy,,True,
639499274.png,happy,happy,,True,
208247621.png,happy,happy,,True,
452953709.png,happy,happy,,True,
18965.png,happy,happy,,True,
912040532.png,happy,happy,,True,
639166337.png,happy,happy,,True,
6990.png,happy,happy,,True,
770198862.png,happy,sad,,True,
330060315.png,happy,happy,,True,
4215.png,happy,happy,,True,
34901.png,happy,happy,,True,
26478.png,happy,happy,,True,
380023368.png,happy,sad,,True,
22593.png,happy,happy,,True,
797584381.png,happy,happy,,True,
23920.png,happy,happy,,True,
26870.png,happy,happy,,True,
27944.png,happy,happy,,True,
116238346.png,happy,happy,,True,
19063.png,happy,sad,,True,
13214.png,happy,happy,,True,
33675.png,happy,happy,,True,
399296783.png,happy,happy,,True,
19370602.png,happy,happy,,True,
9694.png,happy,happy,,True,
553266234.png,happy,happy,,True,
751254582.png,happy,happy,,True,
450062098.png,happy,happy,,True,
13312078.png,happy,happy,,True,
539.png,happy,happy,,True,
584667069.png,happy,happy,,True,
876593871.png,happy,happy,,True,
15239.png,happy,happy,,True,
512.png,happy,happy,,True,
32095.png,happy,happy,,True,
414476050.png,happy,happy,,True,
62404692.png,happy,happy,,True,
61366913.png,happy,happy,,True,
800976352.png,happy,unknown,,False,Resposta ambígua: neutral
33006.png,happy,happy,,True,
23201.png,happy,happy,,True,
5352.png,happy,happy,,True,
8110.png,happy,happy,,True,
14320.png,happy,happy,,True,
756376849.png,happy,happy,,True,
591970626.png,happy,happy,,True,
364296811.png,happy,happy,,True,
194716493.png,happy,happy,,True,
18282.png,happy,happy,,True,
33997770.png,happy,happy,,True,
866069758.png,happy,happy,,True,
23175.png,happy,happy,,True,
29415119.png,happy,happy,,True,
23015.png,happy,happy,,True,
10187.png,happy,happy,,True,
501080494.png,happy,happy,,True,
9361.png,happy,happy,,True,
19965.png,happy,happy,,True,
11134.png,happy,happy,,True,
645813224.png,happy,happy,,True,
6292.png,happy,happy,,True,
666209375.png,happy,happy,,True,
934824772.png,happy,unknown,,False,504 Deadline Exceeded
33552.png,happy,happy,,True,
14516.png,happy,happy,,True,
487792488.png,happy,happy,,True,
639092197.png,happy,happy,,True,
25321.png,happy,happy,,True,
26166.png,happy,happy,,True,
5574.png,happy,happy,,True,
11907.png,happy,happy,,True,
8244.png,happy,happy,,True,
692928616.png,happy,happy,,True,
717042228.png,happy,happy,,True,
16611.png,happy,happy,,True,
272805197.png,happy,happy,,True,
32003.png,happy,happy,,True,
12066.png,happy,happy,,True,
2862.png,happy,happy,,True,
475053555.png,happy,happy,,True,
8156.png,happy,happy,,True,
29959.png,happy,happy,,True,
505145716.png,happy,sad,,True,
21483.png,happy,happy,,True,
16782947.png,happy,happy,,True,
15135.png,happy,happy,,True,
7062.png,happy,happy,,True,
30228.png,happy,happy,,True,
6183.png,happy,happy,,True,
11543.png,happy,happy,,True,
480986437.png,happy,sad,,True,
267918943.png,happy,happy,,True,
451388041.png,happy,happy,,True,
477359084.png,happy,happy,,True,
3159.png,happy,happy,,True,
564628708.png,happy,happy,,True,
sad147_jpg.rf.c9f34b448d16e14437af2919483f3a5a.jpg,sad,sad,,True,
89877504.png,sad,sad,,True,
777194838.png,sad,sad,,True,
16383.png,sad,sad,,True,
34679.png,sad,sad,,True,
12331.png,sad,sad,,True,
4216.png,sad,sad,,True,
236228750.png,sad,sad,,True,
6165.png,sad,happy,,True,
24534.png,sad,happy,,True,
342850076.png,sad,sad,,True,
894937829.png,sad,sad,,True,
32689742.png,sad,sad,,True,
18623.png,sad,sad,,True,
34078.png,sad,sad,,True,
526007817.png,sad,sad,,True,
25411.png,sad,sad,,True,
331991481.png,sad,sad,,True,
182962892.png,sad,sad,,True,
708695753.png,sad,sad,,True,
30136541.png,sad,sad,,True,
993230409.png,sad,sad,,True,
570244610.png,sad,sad,,True,
35549.png,sad,sad,,True,
32226.png,sad,sad,,True,
35561.png,sad,sad,,True,
288671400.png,sad,happy,,True,
379192009.png,sad,sad,,True,
28644.png,sad,sad,,True,
14208.png,sad,sad,,True,
948826132.png,sad,sad,,True,
5606807.png,sad,sad,,True,
22977.png,sad,sad,,True,
166829288.png,sad,sad,,True,
6067.png,sad,sad,,True,
648952919.png,sad,sad,,True,
449129956.png,sad,sad,,True,
10425.png,sad,sad,,True,
12393.png,sad,sad,,True,
515887969.png,sad,sad,,True,
919863530.png,sad,sad,,True,
8851.png,sad,happy,,True,
896818795.png,sad,sad,,True,
579557994.png,sad,sad,,True,
96439096.png,sad,sad,,True,
308242397.png,sad,sad,,True,
65426691.png,sad,sad,,True,
15613.png,sad,sad,,True,
17039.png,sad,sad,,True,
673189824.png,sad,sad,,True,
29510.png,sad,sad,,True,
12212.png,sad,sad,,True,
30104.png,sad,sad,,True,
988974648.png,sad,sad,,True,
568872742.png,sad,sad,,True,
15192.png,sad,sad,,True,
953548517.png,sad,sad,,True,
27121.png,sad,sad,,True,
297264443.png,sad,sad,,True,
343026150.png,sad,sad,,True,
1648.png,sad,sad,,True,
402747068.png,sad,sad,,True,
14106.png,sad,sad,,True,
3263.png,sad,sad,,True,
274085038.png,sad,sad,,True,
31783.png,sad,sad,,True,
18675.png,sad,sad,,True,
903.png,sad,sad,,True,
33369.png,sad,sad,,True,
746572236.png,sad,sad,,True,
179807552.png,sad,sad,,True,
655035970.png,sad,sad,,True,
346526580.png,sad,sad,,True,
33595.png,sad,sad,,True,
33838.png,sad,sad,,True,
766168610.png,sad,sad,,True,
31183.png,sad,sad,,True,
15784.png,sad,sad,,True,
28099.png,sad,sad,,True,
15655.png,sad,sad,,True,
28073.png,sad,sad,,True,
951227419.png,sad,sad,,True,
424488664.png,sad,sad,,True,
24677.png,sad,sad,,True,
34868.png,sad,sad,,True,
792990839.png,sad,sad,,True,
29622.png,sad,sad,,True,
674303777.png,sad,sad,,True,
642499584.png,sad,sad,,True,
359914278.png,sad,sad,,True,
145951133.png,sad,sad,,True,
630329808.png,sad,sad,,True,
29425.png,sad,sad,,True,
11031.png,sad,sad,,True,
565734586.png,sad,sad,,True,
29786.png,sad,sad,,True,
40849021.png,sad,sad,,True,
904383228.png,sad,sad,,True,
484837326.png,sad,sad,,True,
31527.png,sad,sad,,True,
