image_name,true_class,predicted_class,confidence,detected,error
nate-johnston-_OykiNSux5g-unsplash.jpg,happy,happy,,True,
happy40_jpg.rf.ed5460d0f1aa70aa2efde93270ea6acd.jpg,happy,happy,,True,
happinessa.jpg,happy,happy,,True,
image-501.jpeg,happy,happy,,True,
2464.png,happy,happy,,True,
24286.png,happy,happy,,True,
284235950.png,happy,happy,,True,
6951.png,happy,happy,,True,
20181.png,happy,happy,,True,
942.png,happy,happy,,True,
713199771.png,happy,happy,,True,
107840383.png,happy,happy,,True,
860386785.png,happy,happy,,True,
2063.png,happy,sad,,True,
154194006.png,happy,happy,,True,
656892643.png,happy,sad,,True,
28496.png,happy,happy,,True,
815087076.png,happy,happy,,True,
309277515.png,happy,happy,,True,
918875587.png,happy,happy,,True,
663004884.png,happy,happy,,True,
519858713.png,happy,happy,,True,
331149905.png,happy,happy,,True,
28646.png,happy,happy,,True,
726138580.png,happy,happy,,True,
34737.png,happy,happy,,True,
22194.png,happy,happy,,True,
5468.png,happy,happy,,True,
21884.png,happy,happy,,True,
28687.png,happy,happy,,True,
836796567.png,happy,happy,,True,
27365.png,happy,happy,,True,
32224.png,happy,sad,,True,
945189185.png,happy,happy,,True,
884662719.png,happy,happy,,True,
765254829.png,happy,happy,,True,
274581841.png,happy,happy,,True,
884903174.png,happy,happy,,True,
17001.png,happy,happy,,True,
915452893.png,happy,happy,,True,
20647.png,happy,happy,,True,
357616823.png,happy,happy,,True,
27671.png,happy,happy,,True,
111642828.png,happy,happy,,True,
40622435.png,happy,happy,,True,
256310465.png,happy,sad,,True,
909257211.png,happy,happy,,True,
763397447.png,happy,happy,,True,
464704805.png,happy,happy,,True,
696660372.png,happy,happy,,True,
756505547.png,happy,happy,,True,
19968.png,happy,happy,,True,
35529.png,happy,happy,,True,
569783680.png,happy,happy,,True,
551652439.png,happy,sad,,True,
21237.png,happy,happy,,True,
12164.png,happy,happy,,True,
113791340.png,happy,happy,,True,
34407.png,happy,sad,,True,
26981.png,happy,happy,,True,
27452.png,happy,happy,,True,
489719077.png,happy,happy,,True,
203454916.png,happy,happy,,True,
916709746.png,happy,happy,,True,
668.png,happy,happy,,True,
881328866.png,happy,happy,,True,
13725.png,happy,happy,,True,
24943.png,happy,happy,,True,
91217605.png,happy,happy,,True,
29042.png,happy,happy,,True,
574044054.png,happy,happy,,True,
10366.png,happy,happy,,True,
819883102.png,happy,happy,,True,
463506395.png,happy,happy,,True,
523309007.png,happy,happy,,True,
939365885.png,happy,happy,,True,
89310146.png,happy,happy,,True,
961043923.png,happy,sad,,True,
568237450.png,happy,happy,,True,
186424747.png,happy,happy,,True,
6609305.png,happy,happy,,True,
18205.png,happy,happy,,True,
2444.png,happy,happy,,True,
109138693.png,happy,happy,,True,
115351691.png,happy,happy,,True,
737869548.png,happy,happy,,True,
23938.png,happy,happy,,True,
323449723.png,happy,happy,,True,
17690.png,happy,happy,,True,
4797.png,happy,happy,,True,
810.png,happy,happy,,True,
708392567.png,happy,happy,,True,
900066500.png,happy,happy,,True,
496743247.png,happy,happy,,True,
661055896.png,happy,happy,,True,
455733664.png,happy,happy,,True,
21494.png,happy,happy,,True,
210331645.png,happy,happy,,True,
876130777.png,happy,happy,,True,
514652564.png,happy,happy,,True,
sad102_jpg.rf.9f1247d704f4f0662f93fc07ea6784ef.jpg,sad,sad,,True,
pexels-karola-g-6028576.jpg,sad,sad,,True,
sad28_jpg.rf.b33d5b2327d2b128e01f02c4c087d492.jpg,sad,sad,,True,
949803101.png,sad,sad,,True,
925938671.png,sad,sad,,True,
892510204.png,sad,sad,,True,
566775468.png,sad,sad,,True,
7119.png,sad,sad,,True,
851581976.png,sad,sad,,True,
849254545.png,sad,sad,,True,
788471281.png,sad,sad,,True,
73352151.png,sad,sad,,True,
714889233.png,sad,sad,,True,
331911326.png,sad,sad,,True,
4771.png,sad,sad,,True,
18790.png,sad,sad,,True,
776.png,sad,sad,,True,
78579198.png,sad,sad,,True,
9480.png,sad,sad,,True,
729342571.png,sad,sad,,True,
11399.png,sad,sad,,True,
19504.png,sad,sad,,True,
6215.png,sad,sad,,True,
699850662.png,sad,sad,,True,
70.png,sad,sad,,True,
22141.png,sad,sad,,True,
20783.png,sad,sad,,True,
962342101.png,sad,sad,,True,
34127.png,sad,sad,,True,
19076.png,sad,sad,,True,
19249.png,sad,sad,,True,
14802.png,sad,sad,,True,
172.png,sad,sad,,True,
504178010.png,sad,sad,,True,
17175.png,sad,sad,,True,
28018.png,sad,sad,,True,
669723332.png,sad,sad,,True,
35260.png,sad,sad,,True,
23359.png,sad,sad,,True,
9008.png,sad,sad,,True,
58741647.png,sad,sad,,True,
26423.png,sad,sad,,True,
846341959.png,sad,sad,,True,
305593384.png,sad,sad,,True,
841310150.png,sad,happy,,True,
10179.png,sad,sad,,True,
28169.png,sad,sad,,True,
363238352.png,sad,sad,,True,
2166.png,sad,sad,,True,
22040.png,sad,sad,,True,
522602872.png,sad,sad,,True,
11306.png,sad,sad,,True,
26794.png,sad,sad,,True,
466120558.png,sad,sad,,True,
446101292.png,sad,sad,,True,
18242.png,sad,sad,,True,
989878777.png,sad,sad,,True,
381434995.png,sad,sad,,True,
861709506.png,sad,sad,,True,
2143.png,sad,sad,,True,
2802.png,sad,sad,,True,
625719133.png,sad,sad,,True,
11240.png,sad,sad,,True,
916042914.png,sad,sad,,True,
647523854.png,sad,sad,,True,
73514928.png,sad,sad,,True,
408362681.png,sad,sad,,True,
17988.png,sad,sad,,True,
25127.png,sad,sad,,True,
679902426.png,sad,sad,,True,
30466.png,sad,sad,,True,
10985.png,sad,sad,,True,
87539118.png,sad,sad,,True,
27723.png,sad,sad,,True,
17151.png,sad,sad,,True,
35078.png,sad,sad,,True,
21810.png,sad,sad,,True,
32139.png,sad,sad,,True,
33081.png,sad,sad,,True,
953665072.png,sad,sad,,True,
7475.png,sad,sad,,True,
262709086.png,sad,sad,,True,
714794659.png,sad,sad,,True,
286435413.png,sad,sad,,True,
14173.png,sad,sad,,True,
271255973.png,sad,happy,,True,
478326831.png,sad,sad,,True,
295687451.png,sad,sad,,True,
16606.png,sad,sad,,True,
3823.png,sad,sad,,True,
693198555.png,sad,sad,,True,
20979.png,sad,sad,,True,
462337113.png,sad,sad,,True,
526328312.png,sad,sad,,True,
903117093.png,sad,sad,,True,
29553.png,sad,sad,,True,
4421.png,sad,sad,,True,
915580763.png,sad,sad,,True,
11608.png,sad,sad,,True,
787441252.png,sad,sad,,True,
